Route,Flight_Count,Total_Emissions,Average_Distance,Emissions_per_Flight
BME/PER/MEL,1,984.770271854338,548.27,984.770271854338
BME/PER/MEL/PER/BME,2,3939.081087417352,1316.82,1969.540543708676
BME/PER/SYD,2,1108.8158845043706,248.04,554.4079422521853
BME/PER_ADL/PER/BME,1,1229.6066560061513,723.59,1229.6066560061513
BNA/CLT/MHT,1,352.30643854297205,681.0,352.30643854297205
BNE/ABX/BNE,2,946.5343714700489,572.01,473.26718573502444
BNE/ADL,1,331.8158201661763,444.2,331.8158201661763
BNE/ADL/BNE,2,1327.2632806647052,505.9,663.6316403323526
BNE/ADL/MEL,1,464.3438519257746,655.64,464.3438519257746
BNE/AKL/MEL,1,1108.454235487898,339.0,1108.454235487898
BNE/AKL/WRE,1,501.35916254192176,385.0,501.35916254192176
BNE/ASP/BNE,1,883.1468982255944,678.24,883.1468982255944
BNE/BDB/BNE,2,119.63877181290421,715.08,59.819385906452105
BNE/CBR,8,1562.5748981530696,280.4525,195.3218622691337
BNE/CBR/BNE,9,2734.5060717678716,447.8611111111111,303.83400797420796
BNE/CBR/MEL,3,1007.0062875572386,480.09666666666664,335.6687625190795
BNE/CBR_MEL/BNE,1,478.22459340682985,582.83,478.22459340682985
BNE/CNS/BNE/SYD/ARM,1,880.9770041267599,607.65,880.9770041267599
BNE/CNS/GOV/CNS/BNE,2,1116.0488648338182,1302.42,558.0244324169091
BNE/CNS/TSV/MKY/ROK,1,469.6317534423671,1546.36,469.6317534423671
BNE/DFW/JFK_LGA/MSY/DFW/SYD/MEL,1,7352.68615390031,3564.0,7352.68615390031
BNE/DOH/BCN_MAN/DOH/BNE,1,7848.145306467494,2190.0,7848.145306467494
BNE/DOH/BER/DOH/BNE,1,7514.3432642634725,2423.0,7514.3432642634725
BNE/DOH/MAD,1,3968.013008735143,1467.0,3968.013008735143
BNE/DOH/MAN_LGW/DOH/BNE,1,12685.79870024225,1608.0,12685.79870024225
BNE/DPS,1,1008.2774579250438,628.0,1008.2774579250438
BNE/DRW,10,5861.308337297945,478.43500000000006,586.1308337297945
BNE/DRW/DIL/DRW/BNE,2,1605.721633137444,840.5,802.860816568722
BNE/DRW/KNX/DRW/BNE,1,1490.7172458992218,1181.04,1490.7172458992218
BNE/DXB/AMS/DXB/BNE,1,7711.803627257401,2744.0,7711.803627257401
BNE/DXB/ATH/SKG/ATH/DXB/BNE,1,6994.291978576164,2117.0,6994.291978576164
BNE/DXB/CDG/DXB/BNE,2,7745.075336772861,1462.0,3872.5376683864306
BNE/DXB/NBO/DXB/BNE,3,6990.6754884114425,793.6666666666666,2330.2251628038143
BNE/DXB/PRG/DXB/BNE,1,7394.9990888275815,3597.0,7394.9990888275815
BNE/HBA,5,0.0,97.356,0.0
BNE/HIR/BNE,2,1913.8465951719265,830.0,956.9232975859633
BNE/ISA/BNE,1,654.377812678316,1245.85,654.377812678316
BNE/KIX/BNE,1,3211.443266274888,1214.0,3211.443266274888
BNE/LAX/BNE,2,10440.083807525165,1035.0,5220.0419037625825
BNE/LAX/BOS/LAX/SYD/BNE,1,7378.36323406985,4084.0,7378.36323406985
BNE/LAX/BOS_LAX/BNE,1,0.0,4.18,0.0
BNE/LAX/DCA,1,3440.0054446854433,2551.0,3440.0054446854433
BNE/MEL,177,46002.08228896473,221.9979661016949,259.89876999415105
BNE/MEL/BNE,209,101948.06337988157,436.3113875598086,487.7897769372324
BNE/MEL/BNE/BDB,1,0.0,5.46,0.0
BNE/MEL/CBR,5,1138.2208014465252,424.15600000000006,227.64416028930503
BNE/MEL/CBR/BNE,1,574.728796084642,439.84,574.728796084642
BNE/MEL/CNS,1,758.8138676310168,1109.94,758.8138676310168
BNE/MEL/HBA,1,0.0,46.39,0.0
BNE/MEL/MCY,1,0.0,4.5,0.0
BNE/MEL/NTL,1,454.7595304269508,889.73,454.7595304269508
BNE/MEL/SYD,3,427.3285413096275,191.32999999999996,142.44284710320917
BNE/MEL/TSV,1,710.5617662921106,1156.79,710.5617662921106
BNE/MEL_CBR/BNE,1,478.22459340682985,523.71,478.22459340682985
BNE/OAG,1,157.31507011862544,385.89,157.31507011862544
BNE/PER,1,740.3062123229431,378.76,740.3062123229431
BNE/PER/BME/PER/BNE,2,0.0,564.69,0.0
BNE/PER/BNE,2,3240.37518759268,682.27,1620.18759379634
BNE/PER/SYD,1,1542.0714062383024,979.1,1542.0714062383024
BNE/PER_PHE/PER,1,1104.8377453231737,718.72,1104.8377453231737
BNE/POM/BNE,3,2820.8623284847,1388.3333333333333,940.2874428282333
BNE/POM/BUA/POM,1,891.8264746209318,1043.0,891.8264746209318
BNE/POM/BUA/POM/BNE,10,9533.79137224534,1853.5,953.3791372245339
BNE/PQQ,1,121.66796095069724,175.56,121.66796095069724
BNE/ROK,2,213.49902373242023,341.04,106.74951186621011
BNE/ROK/BNE,1,213.49902373242023,245.74,213.49902373242023
BNE/SIN/DEL/BLR_CGK/SYD/BNE,2,11911.590858560145,3843.0,5955.795429280072
BNE/SIN/HKG/SIN/BNE,1,3914.4889542972282,1823.0,3914.4889542972282
BNE/SIN/KUL_SIN/SYD,1,2862.451965379025,1318.0,2862.451965379025
BNE/SIN/LHR/SIN/BNE,2,7642.3670160947,1649.0,3821.18350804735
BNE/SIN/MXP_FCO/SIN/BNE,1,7324.839179631935,3520.0,7324.839179631935
BNE/SYD,8,905.5531347164574,189.7975,113.19414183955718
BNE/SYD/ASP/SYD/BNE,1,1238.2862324014886,954.26,1238.2862324014886
BNE/SYD/AYQ,1,594.5584267718639,384.64,594.5584267718639
BNE/SYD/BNE,5,1546.711193603292,347.20799999999997,309.34223872065843
BNE/SYD/CGK,1,1401.751587847012,465.0,1401.751587847012
BNE/SYD/CGK/SYD/BNE,1,2803.503175694024,1155.0,2803.503175694024
BNE/SYD/HBA/MEL,1,493.4273102670331,677.77,493.4273102670331
BNE/SYD/HKG/SIN/BNE,1,3784.656957383638,1493.0,3784.656957383638
